accountsservice 0.6.55-3
xfce4-whiskermenu-plugin 2.7.1-1
xfce4-xkb-plugin 0.8.2-1
xfconf 4.16.0-2
xfdesktop 4.16.0-2
xfsprogs 5.14.2-1
xfwm4 4.16.1-3
xiccd 0.3.0-1
xorg-mkfontscale 1.2.1-2
xorg-server 21.1.3-1
xorg-twm 1.0.11-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xz 5.2.5-2
yelp 41.2-1
zensu 0.3-3
